Date,Open,High,Low,Close,Adj Close,Volume,pos,neg,neu
9/16/2015,521.97998,528.299988,518.52002,527.390015,527.390015,2252800,0.2,0,0.8
9/17/2015,526.97998,546.969971,526.570007,538.869995,538.869995,4169500,0,0,1
9/18/2015,534.619995,546.23999,531.349976,540.26001,540.26001,6125600,0.166666667,0,0.833333333
9/21/2015,544.330017,549.780029,539.590027,548.390015,548.390015,3283300,0,0,1
9/22/2015,539.710022,543.549988,532.659973,538.400024,538.400024,3841700,0.272727273,0,0.727272727
9/23/2015,538.299988,541.210022,534,536.070007,536.070007,2237600,0,0,1
9/24/2015,530.549988,534.559998,522.869995,533.75,533.75,3501000,0.285714286,0,0.714285714
9/25/2015,542.570007,542.799988,521.400024,524.25,524.25,4031000,0,0,1
9/28/2015,520.02002,520.280029,494.329987,504.059998,504.059998,5434500,0,0,1
9/29/2015,506,511.480011,490.5,496.070007,496.070007,4457500,0.333333333,0.166666667,0.5
9/30/2015,505.440002,512.799988,501.670013,511.890015,511.890015,3990400,0,0.5,0.5
10/1/2015,511,520.799988,506,520.719971,520.719971,3768500,0.333333333,0.333333333,0.333333333
10/2/2015,512.98999,532.599976,508.100006,532.539978,532.539978,4597800,0.333333333,0.333333333,0.333333333
10/5/2015,536.98999,545.909973,536,543.679993,543.679993,3391400,0.333333333,0.333333333,0.333333333
10/6/2015,545.5,551.5,533.330017,537.47998,537.47998,4502800,0.333333333,0.333333333,0.333333333
10/7/2015,541.789978,542,529,541.940002,541.940002,3812100,0.333333333,0.333333333,0.333333333
10/8/2015,536.710022,539.390015,519.890015,533.159973,533.159973,4676400,0.333333333,0.333333333,0.333333333
10/9/2015,534.47998,541.789978,530.27002,539.799988,539.799988,3537400,0.333333333,0.333333333,0.333333333
10/12/2015,539.960022,550.820007,539.799988,550.190002,550.190002,2776100,0,0,1
10/13/2015,546.26001,553.200012,543.099976,548.900024,548.900024,2938000,0,0,1
10/14/2015,551.340027,552.25,539.679993,544.830017,544.830017,3582100,0,0,1
10/15/2015,547.75,563,547,562.440002,562.440002,4937000,0,0,1
10/16/2015,565.27002,570.940002,560.309998,570.76001,570.76001,4315800,0.333333333,0,0.666666667
10/19/2015,570.76001,579,567.380005,573.150024,573.150024,4375400,0.25,0.25,0.5
10/20/2015,572,573,555.280029,560.880005,560.880005,4327900,0,0,1
10/21/2015,563.869995,565.25,552.52002,555.77002,555.77002,3343600,0,0.125,0.875
10/22/2015,562.700012,569.150024,556.669983,563.909973,563.909973,7779400,0.166666667,0,0.833333333
10/23/2015,617.679993,619.450012,595.359985,599.030029,599.030029,10692700,0.166666667,0,0.833333333
10/26/2015,602.299988,609.849976,596.289978,608.609985,608.609985,4269700,0.333333333,0.333333333,0.333333333
10/27/2015,608.599976,614.710022,605.530029,611.01001,611.01001,3787100,0,0,1
10/28/2015,612.299988,617.22998,609.5,617.099976,617.099976,3926200,0.142857143,0.142857143,0.714285714
10/29/2015,617.700012,627.539978,615.390015,626.549988,626.549988,3858600,0,0,1
10/30/2015,626.01001,630.719971,625.280029,625.900024,625.900024,3874400,0,0,1
11/2/2015,627.130005,628.630005,620.409973,628.349976,628.349976,2816500,0.333333333,0.333333333,0.333333333
11/3/2015,629.530029,629.890015,622,625.309998,625.309998,3246900,0.333333333,0.333333333,0.333333333
11/4/2015,627.76001,645.929993,627.349976,640.950012,640.950012,4831800,0.333333333,0.333333333,0.333333333
11/5/2015,647.099976,657,643.090027,655.650024,655.650024,4723800,0.333333333,0.333333333,0.333333333
11/6/2015,655,662.26001,652,659.369995,659.369995,4092200,0.333333333,0.333333333,0.333333333
11/9/2015,658.650024,661.960022,647.849976,655.48999,655.48999,4048800,0.333333333,0.333333333,0.333333333
11/10/2015,651.01001,660,647.26001,659.679993,659.679993,3489500,0.25,0,0.75
11/11/2015,663.25,675.960022,663.25,673.25,673.25,5387300,0,0,1
11/12/2015,673,675.640015,664.219971,665.599976,665.599976,4284700,0.333333333,0,0.666666667
11/13/2015,663.570007,667,640.450012,642.349976,642.349976,6261100,0.2,0,0.8
11/16/2015,640.919983,649.98999,622.289978,647.809998,647.809998,7435900,0.5,0,0.5
11/17/2015,650.650024,653.25,641,643.299988,643.299988,4320200,0,0,1
11/18/2015,646.51001,664.880005,646.369995,663.539978,663.539978,4469800,0,0.2,0.8
11/19/2015,664.98999,672.859985,659,661.27002,661.27002,4705200,0,0,1
11/20/2015,667.940002,668.869995,657.570007,668.450012,668.450012,3896100,0,0,1
11/23/2015,671.5,682.77002,670.119995,678.98999,678.98999,4385100,0,0,1
11/24/2015,674.140015,675.799988,661.210022,671.150024,671.150024,4543400,0.2,0,0.8
11/25/2015,675,679.700012,671.23999,675.340027,675.340027,2697900,0.125,0,0.875
11/27/2015,680.799988,680.98999,672.099976,673.26001,673.26001,1966800,0,0,1
11/30/2015,675.900024,681.289978,664.599976,664.799988,664.799988,5693200,0,0,1
12/1/2015,673.75,681,667.859985,679.059998,679.059998,4751200,0.333333333,0.333333333,0.333333333
12/2/2015,681,684.820007,674.25,676.01001,676.01001,4273500,0.333333333,0.333333333,0.333333333
12/3/2015,679.440002,682.789978,661.47998,666.25,666.25,5064700,0.333333333,0.333333333,0.333333333
