Date,Open,High,Low,Close,Adj Close,Volume,ups and down
11/5/2015,121.849998,122.690002,120.18,120.919998,114.204384,39552700,-1.080002
11/6/2015,121.110001,121.809998,120.620003,121.059998,114.336601,33042300,0.14
11/9/2015,120.959999,121.809998,120.050003,120.57,113.873817,33871400,-0.489998
11/10/2015,116.900002,118.07,116.059998,116.769997,110.284859,59127900,-3.800003
11/11/2015,116.370003,117.419998,115.209999,116.110001,109.661514,45218000,-0.659996
11/12/2015,116.260002,116.82,115.650002,115.720001,109.29319,32525600,-0.39
11/13/2015,115.199997,115.57,112.269997,112.339996,106.100891,45812400,-3.380005
11/16/2015,111.379997,114.239998,111,114.18,107.838699,38106700,1.840004
11/17/2015,114.919998,115.050003,113.32,113.690002,107.375931,27616900,-0.489998
11/18/2015,115.760002,117.489998,115.5,117.290001,110.775986,46674700,3.599999
11/19/2015,117.639999,119.75,116.760002,118.779999,112.183243,43295800,1.489998
11/20/2015,119.199997,119.919998,118.849998,119.300003,112.674355,34287100,0.520004
11/23/2015,119.269997,119.730003,117.339996,117.75,111.210442,32482500,-1.550003
11/24/2015,117.330002,119.349998,117.120003,118.879997,112.277687,42803200,1.129997
11/25/2015,119.209999,119.230003,117.919998,118.029999,111.474892,21388300,-0.849998
11/27/2015,118.290001,118.410004,117.599998,117.809998,111.267105,13046400,-0.220001
11/30/2015,117.989998,119.410004,117.75,118.300003,111.729889,39180300,0.490005
12/1/2015,118.75,118.809998,116.860001,117.339996,110.823204,34852400,-0.960007
12/2/2015,117.339996,118.110001,116.080002,116.279999,109.822075,33386600,-1.059997
12/3/2015,116.550003,116.790001,114.220001,115.199997,108.802063,41569500,-1.080002
12/4/2015,115.290001,119.25,115.110001,119.029999,112.419334,57777000,3.830002
12/7/2015,118.980003,119.860001,117.809998,118.279999,111.710999,32084200,-0.75
12/8/2015,117.519997,118.599998,116.860001,118.230003,111.663773,34309500,-0.049996
12/9/2015,117.639999,117.690002,115.080002,115.620003,109.198723,46361400,-2.61
12/10/2015,116.040001,116.940002,115.510002,116.169998,109.718185,29104200,0.549995
12/11/2015,115.190002,115.389999,112.849998,113.18,106.894241,46886200,-2.989998
12/14/2015,112.18,112.68,109.790001,112.480003,106.233116,64318700,-0.699997
12/15/2015,111.940002,112.800003,110.349998,110.489998,104.353638,53323100,-1.990005
12/16/2015,111.07,111.989998,108.800003,111.339996,105.156433,56238500,0.849998
12/17/2015,112.019997,112.25,108.980003,108.980003,102.927505,44772800,-2.359993
12/18/2015,108.910004,109.519997,105.809998,106.029999,100.141335,96453300,-2.950004
12/21/2015,107.279999,107.370003,105.57,107.330002,101.369141,47590600,1.300003
12/22/2015,107.400002,107.720001,106.449997,107.230003,101.274696,32789400,-0.099999
12/23/2015,107.269997,108.849998,107.199997,108.610001,102.578056,32657400,1.379998
12/24/2015,109,109,107.949997,108.029999,102.030258,13570400,-0.580002
12/28/2015,107.589996,107.690002,106.18,106.82,100.887466,26704200,-1.209999
12/29/2015,106.959999,109.43,106.860001,108.739998,102.700844,30931200,1.919998
12/30/2015,108.580002,108.699997,107.18,107.32,101.359718,25213800,-1.419998
12/31/2015,107.010002,107.029999,104.82,105.260002,99.414101,40635300,-2.059998
1/4/2016,102.610001,105.370003,102,105.349998,99.499107,67649400,0.089996
1/5/2016,105.75,105.849998,102.410004,102.709999,97.00573,55791000,-2.639999
1/6/2016,100.559998,102.370003,99.870003,100.699997,95.107361,68457400,-2.010002
1/7/2016,98.68,100.129997,96.43,96.449997,91.093399,81094400,-4.25
1/8/2016,98.550003,99.110001,96.760002,96.959999,91.575073,70798000,0.510002
1/11/2016,98.970001,99.059998,97.339996,98.529999,93.057869,49739400,1.57
1/12/2016,100.550003,100.690002,98.839996,99.959999,94.408447,49154200,1.43
1/13/2016,100.32,101.190002,97.300003,97.389999,91.981194,62439600,-2.57
1/14/2016,97.959999,100.480003,95.739998,99.519997,93.992889,63170100,2.129998
1/15/2016,96.199997,97.709999,95.360001,97.129997,91.735634,79010000,-2.39
1/19/2016,98.410004,98.650002,95.5,96.660004,91.291718,53087700,-0.469993
1/20/2016,95.099998,98.190002,93.419998,96.790001,91.41452,72334400,0.129997
1/21/2016,97.059998,97.879997,94.940002,96.300003,90.951736,52161500,-0.489998
1/22/2016,98.629997,101.459999,98.370003,101.419998,95.787369,65800500,5.119995
1/25/2016,101.519997,101.529999,99.209999,99.440002,93.917336,51794500,-1.979996
1/26/2016,99.93,100.879997,98.07,99.989998,94.43679,75077000,0.549996
1/27/2016,96.040001,96.629997,93.339996,93.419998,88.231659,133369700,-6.57
1/28/2016,93.790001,94.519997,92.389999,94.089996,88.864449,55678800,0.669998
1/29/2016,94.790001,97.339996,94.349998,97.339996,91.93396,64416500,3.25
2/1/2016,96.470001,96.709999,95.400002,96.43,91.074501,40943500,-0.909996
2/2/2016,95.419998,96.040001,94.279999,94.480003,89.232796,37357200,-1.949997
2/3/2016,95,96.839996,94.080002,96.349998,90.998932,45964300,1.869995
