Date,Open,High,Low,Close,Adj Close,Volume,ups and down
12/14/2015,641.75,658.590027,635.27002,657.909973,657.909973,4329700,17.759949
12/15/2015,665.030029,671.5,657.349976,658.640015,658.640015,4753400,0.730042
12/16/2015,663.559998,677.349976,659.320007,675.77002,675.77002,3964500,17.130005
12/17/2015,680,682.5,670.650024,670.650024,670.650024,3681600,-5.119996
12/18/2015,668.650024,676.840027,664.130005,664.140015,664.140015,6841300,-6.510009
12/21/2015,668.5,669.900024,658.929993,664.51001,664.51001,3250900,0.369995
12/22/2015,666.830017,668.48999,659.26001,663.150024,663.150024,2664000,-1.359986
12/23/2015,666.5,666.599976,656.630005,663.700012,663.700012,2722900,0.549988
12/24/2015,663.349976,664.679993,660.599976,662.789978,662.789978,1093000,-0.910034
12/28/2015,665.559998,675.5,665.5,675.200012,675.200012,3775800,12.410034
12/29/2015,677.97998,696.440002,677.890015,693.969971,693.969971,5735000,18.769959
12/30/2015,691.890015,695.48999,686.380005,689.070007,689.070007,3519000,-4.899964
12/31/2015,686.080017,687.75,675.890015,675.890015,675.890015,3749600,-13.179992
1/4/2016,656.289978,657.719971,627.51001,636.98999,636.98999,9314500,-38.900025
1/5/2016,646.859985,646.909973,627.650024,633.789978,633.789978,5822600,-3.200012
1/6/2016,622,639.789978,620.309998,632.650024,632.650024,5329200,-1.139954
1/7/2016,621.799988,630,605.210022,607.940002,607.940002,7074900,-24.710022
1/8/2016,619.659973,624.140015,606,607.049988,607.049988,5512900,-0.890014
1/11/2016,612.47998,619.849976,598.570007,617.73999,617.73999,4869200,10.690002
1/12/2016,625.25,625.98999,612.23999,617.890015,617.890015,4724100,0.150025
1/13/2016,620.880005,620.880005,579.159973,581.809998,581.809998,7655200,-36.080017
1/14/2016,580.25,602.25,569.880005,593,593,7238000,11.190002
1/15/2016,572.23999,584.619995,565.299988,570.179993,570.179993,7784500,-22.820007
1/19/2016,577.090027,584,566.450012,574.47998,574.47998,4807200,4.299987
1/20/2016,564.359985,578.450012,547.179993,571.77002,571.77002,7966400,-2.70996
1/21/2016,573.580017,588.809998,568.219971,575.02002,575.02002,4952200,3.25
1/22/2016,588.72998,600.099976,584.109985,596.380005,596.380005,5120100,21.359985
1/25/2016,597.98999,608.5,594.559998,596.530029,596.530029,4396100,0.150024
